District,LAD_Name,Region_Code,Region_Name,D,F,S,T,Total
FOREST OF DEAN,Forest of Dean,E12000009,South West,9,0,5,6,20
FYLDE,Fylde,E12000002,North West,10,6,9,7,32
GATESHEAD,Gateshead,E12000001,North East,6,7,23,22,58
GEDLING,Gedling,E12000004,East Midlands,17,1,10,8,36
GLOUCESTER,Gloucester,E12000009,South West,3,8,14,10,35
GOSPORT,Gosport,E12000008,South East,2,6,3,12,23
GRAVESHAM,Gravesham,E12000008,South East,5,3,12,15,35
GREAT YARMOUTH,Great Yarmouth,E12000006,East of England,18,2,9,17,46
GREENWICH,Greenwich,E12000007,London,3,21,12,29,65
GUILDFORD,Guildford,E12000008,South East,10,4,18,11,43
HACKNEY,Hackney,E12000007,London,0,46,0,6,52
HALTON,Halton,E12000002,North West,4,0,7,12,23
HAMMERSMITH AND FULHAM,Hammersmith and Fulham,E12000007,London,0,17,2,6,25
HARBOROUGH,Harborough,E12000004,East Midlands,9,1,7,7,24
HARINGEY,Haringey,E12000007,London,1,26,1,23,51
HARLOW,Harlow,E12000006,East of England,3,3,8,9,23
HARROW,Harrow,E12000007,London,2,10,16,11,39
HART,Hart,E12000008,South East,12,8,11,9,40
HARTLEPOOL,Hartlepool,E12000001,North East,11,1,12,21,45
HASTINGS,Hastings,E12000008,South East,3,6,9,9,27
HAVANT,Havant,E12000008,South East,15,4,13,13,45
HAVERING,Havering,E12000007,London,4,9,26,24,63
HEREFORDSHIRE,Herefordshire,E12000005,West Midlands,29,7,16,20,72
HERTSMERE,Hertsmere,E12000006,East of England,5,9,13,10,37
HIGH PEAK,High Peak,E12000004,East Midlands,5,1,6,11,23
HILLINGDON,Hillingdon,E12000007,London,11,20,26,15,72
HINCKLEY AND BOSWORTH,Hinckley and Bosworth,E12000004,East Midlands,19,2,13,4,38
HORSHAM,Horsham,E12000008,South East,19,5,12,14,50
HOUNSLOW,Hounslow,E12000007,London,0,17,8,9,34
HUNTINGDONSHIRE,Huntingdonshire,E12000006,East of England,18,6,25,21,70
HYNDBURN,Hyndburn,E12000002,North West,2,1,2,19,24
IPSWICH,Ipswich,E12000006,East of England,5,1,16,15,37
ISLE OF WIGHT,Isle of Wight,E12000008,South East,29,11,19,11,70
ISLINGTON,Islington,E12000007,London,0,27,1,7,35
KENSINGTON AND CHELSEA,Kensington and Chelsea,E12000007,London,0,21,1,4,26
KING'S LYNN AND WEST NORFOLK,King's Lynn and West Norfolk,E12000006,East of England,45,6,19,16,86
KINGSTON UPON THAMES,Kingston upon Thames,E12000007,London,2,10,13,13,38
KIRKLEES,Kirklees,E12000003,Yorkshire and The Humber,23,8,29,41,101
